id,price_min,price_max,multiplier,created_at,updated_at
151,7550,7600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
152,7600,7650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
153,7650,7700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
154,7700,7750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
155,7750,7800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
156,7800,7850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
157,7850,7900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
158,7900,7950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
159,7950,8000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
160,8000,8050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
161,8050,8100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
162,8100,8150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
163,8150,8200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
164,8200,8250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
165,8250,8300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
166,8300,8350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
167,8350,8400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
168,8400,8450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
169,8450,8500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
170,8500,8550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
171,8550,8600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
172,8600,8650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
173,8650,8700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
174,8700,8750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
175,8750,8800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
176,8800,8850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
177,8850,8900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
178,8900,8950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
179,8950,9000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
180,9000,9050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
181,9050,9100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
182,9100,9150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
183,9150,9200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
184,9200,9250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
185,9250,9300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
186,9300,9350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
187,9350,9400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
188,9400,9450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
189,9450,9500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
190,9500,9550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
191,9550,9600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
192,9600,9650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
193,9650,9700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
194,9700,9750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
195,9750,9800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
196,9800,9850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
197,9850,9900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
198,9900,9950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
199,9950,10000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
200,10000,10050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
201,10050,10100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
202,10100,10150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
203,10150,10200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
204,10200,10250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
205,10250,10300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
206,10300,10350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
207,10350,10400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
208,10400,10450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
209,10450,10500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
210,10500,10550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
211,10550,10600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
212,10600,10650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
213,10650,10700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
214,10700,10750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
215,10750,10800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
216,10800,10850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
217,10850,10900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
218,10900,10950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
219,10950,11000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
220,11000,11050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
221,11050,11100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
222,11100,11150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
223,11150,11200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
224,11200,11250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
225,11250,11300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
226,11300,11350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
227,11350,11400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
228,11400,11450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
229,11450,11500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
230,11500,11550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
231,11550,11600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
232,11600,11650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
233,11650,11700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
234,11700,11750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
235,11750,11800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
236,11800,11850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
237,11850,11900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
238,11900,11950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
239,11950,12000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
240,12000,12050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
241,12050,12100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
242,12100,12150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
243,12150,12200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
244,12200,12250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
245,12250,12300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
246,12300,12350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
247,12350,12400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
248,12400,12450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
249,12450,12500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
250,12500,12550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
251,12550,12600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
252,12600,12650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
253,12650,12700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
254,12700,12750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
255,12750,12800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
256,12800,12850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
